stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\17898981\projetos\Patronicos\build\allegro5.cfg r
system   D            wsystem.c:891  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:797  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:800  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:272  al_install_system                [   0.00000] Allegro version: 5.2.10
audio-dsound I           dsound.cpp:275  _dsound_open                     [   0.00050] Starting DirectSound...
audio-dsound D           dsound.cpp:288  _dsound_open                     [   0.06720] DirectSoundCreate8 succeeded
audio-dsound I           dsound.cpp:77   get_window                       [   0.06732] Using desktop window: 000000000001000c
audio    I              audio.c:391  do_install_audio                 [   0.06746] Using DirectSound driver
system   D            wsystem.c:891  _al_win_safe_load_library        [   0.06774] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:797  load_library_at_path             [   0.06784] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:800  load_library_at_path             [   0.08544] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:679  d3d_init_display                 [   0.29393] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1780 d3d_create_display_locked        [   0.29452] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.29461] al_display=0000000000e16570
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.29467] al_display->vt=0000000000e17b20
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.61717] found 192 format combinations
display  D   display_settings.c:214  debug_display_settings           [   0.61730] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.61737] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.61747] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.61757] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.61766] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.61775] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.61782] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.61791] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.61798] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.61806] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.61813] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.61820] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.61825] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.61837] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.61847] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.61859] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.61867] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.61881] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.61889] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.61901] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.61909] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.61918] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.61929] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.61939] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.61950] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.61959] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.61970] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.61980] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.61985] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.61999] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.62008] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.62018] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.62024] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.62031] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.62039] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.62047] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.62052] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.62061] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.62069] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.62081] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.62091] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.62102] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.62110] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.62118] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.62125] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.62133] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.62140] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.62147] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.62154] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.62161] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.62168] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.62175] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.62182] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.62190] Score is : 726
